               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025234,            0.010088,           0.0068302,             0.84071,             0.79239,             0.83568,             0.60494,            0.015753,           0.0057673,           0.0082773,           0.0030888,           0.0030888,           0.0030888
                  36,             0.02515,            0.010062,           0.0063304,             0.83985,               0.829,             0.87691,             0.63195,              0.0155,           0.0055912,           0.0086869,            0.002855,            0.002855,            0.002855
                  37,            0.025217,           0.0096069,           0.0057035,             0.85336,             0.89361,             0.92138,              0.6685,            0.015109,            0.005824,           0.0065513,           0.0026316,           0.0026316,           0.0026316
                  38,            0.023743,           0.0098277,           0.0053656,             0.83629,             0.84047,             0.90732,             0.66669,            0.015114,           0.0057644,           0.0077361,           0.0024195,           0.0024195,           0.0024195
                  39,            0.022808,           0.0091499,           0.0043649,             0.83449,             0.88644,             0.88095,             0.63796,            0.015647,           0.0059061,           0.0081543,           0.0022196,           0.0022196,           0.0022196
                  40,            0.023153,           0.0093486,           0.0045476,             0.81548,             0.86673,             0.84971,             0.61684,            0.014805,           0.0056538,           0.0094897,           0.0020327,           0.0020327,           0.0020327
                  41,            0.023104,           0.0092209,           0.0043402,             0.80474,             0.85303,             0.87688,             0.64336,            0.014806,           0.0056964,           0.0078076,           0.0018594,           0.0018594,           0.0018594
                  42,            0.022794,           0.0089851,           0.0047723,             0.80117,             0.84706,             0.87626,             0.63188,            0.015305,           0.0057813,           0.0096512,           0.0017005,           0.0017005,           0.0017005
                  43,            0.023694,           0.0092892,           0.0044872,             0.82188,             0.85597,             0.88801,             0.66189,            0.014591,           0.0056427,           0.0081359,           0.0015566,           0.0015566,           0.0015566
                  44,             0.02254,           0.0095477,           0.0041007,             0.83268,             0.80918,             0.84354,             0.62001,            0.014858,           0.0055968,           0.0098957,           0.0014283,           0.0014283,           0.0014283
                  45,             0.02203,           0.0092505,           0.0039498,             0.81922,             0.86932,             0.88542,             0.64133,            0.014941,           0.0055955,           0.0089033,            0.001316,            0.001316,            0.001316
                  46,             0.02178,           0.0090994,           0.0040422,             0.79583,             0.89897,             0.87747,             0.63504,            0.015066,           0.0056946,           0.0089694,           0.0012202,           0.0012202,           0.0012202
                  47,            0.022167,           0.0091758,           0.0036078,             0.80777,             0.88298,             0.87566,             0.64544,             0.01485,           0.0057214,            0.008501,           0.0011414,           0.0011414,           0.0011414
                  48,            0.021101,           0.0088358,           0.0037435,              0.8235,             0.84581,             0.88458,             0.65817,            0.014315,           0.0057181,            0.008869,           0.0010797,           0.0010797,           0.0010797
                  49,            0.021296,           0.0091165,           0.0038036,              0.8063,             0.90627,             0.88128,             0.65353,            0.014255,           0.0057758,           0.0081948,           0.0010355,           0.0010355,           0.0010355
