               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033274,            0.011225,            0.010551,             0.62762,             0.58098,             0.59924,             0.39679,            0.025242,           0.0057436,            0.018911,           0.0074027,           0.0074027,            0.011303
                  37,            0.033127,            0.011273,            0.010119,             0.51689,             0.56006,             0.59738,             0.37513,            0.028953,           0.0055345,            0.019096,           0.0074899,           0.0074899,           0.0087899
                  38,            0.033517,            0.011618,            0.010918,             0.60058,             0.53493,             0.57579,             0.36349,            0.029931,           0.0054762,             0.02187,           0.0074725,           0.0074725,           0.0074725
                  39,            0.033241,            0.011307,            0.011864,             0.49996,              0.7547,             0.58011,             0.37221,            0.028178,           0.0055954,            0.027607,           0.0074725,           0.0074725,           0.0074725
                  40,            0.034265,            0.011541,            0.011641,             0.51642,             0.62211,             0.49986,             0.30691,            0.031118,           0.0072678,            0.029313,            0.007355,            0.007355,            0.007355
                  41,             0.03203,            0.011446,             0.01019,             0.64181,             0.62215,             0.65075,             0.42405,            0.025887,           0.0051306,            0.018352,           0.0072361,           0.0072361,           0.0072361
                  42,            0.031812,             0.01084,            0.010074,             0.57778,             0.79381,              0.7229,             0.44885,            0.026462,           0.0052008,             0.02107,            0.007116,            0.007116,            0.007116
                  43,            0.032799,            0.010952,           0.0094707,             0.70265,             0.69142,              0.7267,             0.45965,            0.026837,           0.0049955,            0.014063,           0.0069948,           0.0069948,           0.0069948
                  44,            0.031875,            0.011036,           0.0092856,             0.64513,             0.61626,             0.67476,             0.47137,            0.026509,            0.004903,            0.015987,           0.0068726,           0.0068726,           0.0068726
                  45,            0.032568,            0.011082,            0.010016,             0.81972,             0.52236,             0.63504,             0.42821,            0.024753,           0.0052447,            0.023803,           0.0067495,           0.0067495,           0.0067495
                  46,            0.031629,            0.011159,           0.0088559,             0.55766,             0.69895,             0.69334,              0.4616,            0.024877,           0.0050347,            0.014967,           0.0066257,           0.0066257,           0.0066257
                  47,            0.030633,            0.010974,           0.0090849,             0.65621,             0.73197,             0.71444,             0.49324,            0.024664,           0.0046024,            0.020338,           0.0065013,           0.0065013,           0.0065013
                  48,            0.032397,            0.010981,           0.0079447,             0.71678,             0.80874,             0.76124,             0.50965,            0.024457,           0.0047801,            0.014279,           0.0063764,           0.0063764,           0.0063764
                  49,            0.030083,            0.010933,           0.0076742,             0.62534,             0.80842,             0.71965,              0.4991,            0.023111,           0.0047326,            0.013144,           0.0062512,           0.0062512,           0.0062512
                  50,            0.031236,            0.010775,           0.0079886,             0.60343,             0.78948,             0.71863,             0.45918,            0.026525,           0.0046075,            0.014935,           0.0061256,           0.0061256,           0.0061256
                  51,             0.03218,            0.010693,           0.0075684,             0.77234,             0.81724,              0.8095,             0.55585,            0.023395,           0.0049503,           0.0090001,               0.006,               0.006,               0.006
                  52,             0.03016,            0.010931,           0.0068114,             0.74139,             0.69875,             0.74741,             0.48765,            0.025816,           0.0048237,            0.018318,           0.0058744,           0.0058744,           0.0058744
                  53,            0.029244,            0.010116,           0.0067118,             0.78907,             0.84299,             0.84153,             0.58341,            0.024003,           0.0046802,           0.0096376,           0.0057488,           0.0057488,           0.0057488
                  54,            0.030028,            0.010213,           0.0071766,             0.71564,             0.74541,             0.70164,             0.48131,            0.025508,           0.0049864,             0.02904,           0.0056236,           0.0056236,           0.0056236
                  55,            0.029301,            0.010516,           0.0065054,             0.76102,              0.8203,              0.8599,             0.57772,            0.024043,            0.004687,            0.015669,           0.0054987,           0.0054987,           0.0054987
                  56,            0.029909,           0.0099865,           0.0063672,             0.75582,             0.75778,              0.7917,              0.5373,            0.024051,           0.0047391,            0.010392,           0.0053743,           0.0053743,           0.0053743
                  57,            0.029954,            0.010097,           0.0065655,             0.70651,             0.77166,             0.76312,             0.53832,            0.023789,           0.0048532,            0.011539,           0.0052505,           0.0052505,           0.0052505
                  58,             0.02884,            0.010539,           0.0057594,             0.70227,             0.67589,             0.75378,              0.5345,            0.022016,           0.0045693,             0.01335,           0.0051274,           0.0051274,           0.0051274
                  59,            0.027595,            0.010136,           0.0063018,             0.75232,             0.70026,             0.76615,             0.52665,            0.023093,           0.0047558,            0.011657,           0.0050052,           0.0050052,           0.0050052
                  60,            0.028634,            0.010227,           0.0058899,             0.83298,             0.72924,             0.84021,             0.58913,            0.022305,           0.0044519,            0.013789,            0.004884,            0.004884,            0.004884
                  61,            0.029421,            0.010477,           0.0058378,             0.71033,             0.73539,             0.77544,             0.54281,            0.022348,           0.0044602,            0.011394,           0.0047639,           0.0047639,           0.0047639
                  62,            0.027962,            0.010433,           0.0050992,             0.62902,               0.742,             0.74655,             0.50733,            0.024668,           0.0047623,            0.016056,            0.004645,            0.004645,            0.004645
                  63,            0.028107,           0.0099606,           0.0048454,             0.79074,             0.85249,             0.84903,             0.60283,            0.021823,           0.0044929,            0.010512,           0.0045275,           0.0045275,           0.0045275
                  64,            0.027544,            0.010012,           0.0043738,             0.79122,             0.84898,             0.82549,             0.58318,            0.021502,           0.0043488,           0.0093113,           0.0044114,           0.0044114,           0.0044114
                  65,            0.026552,           0.0096366,           0.0052519,             0.75906,             0.81637,              0.8532,              0.6021,            0.022125,           0.0043928,            0.011903,           0.0042969,           0.0042969,           0.0042969
                  66,            0.027442,           0.0096999,           0.0045557,             0.71749,             0.83124,             0.78873,             0.56418,            0.021898,            0.004462,           0.0099073,            0.004184,            0.004184,            0.004184
