               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,             0.05738,            0.043501,                   0,             0.86383,              0.5989,             0.67849,             0.33777,            0.056566,             0.04207,                   0,           0.0022809,           0.0022809,           0.0022809
                  46,            0.056586,            0.041632,                   0,             0.86209,             0.60876,             0.68541,             0.34227,            0.056352,            0.042143,                   0,           0.0021958,           0.0021958,           0.0021958
                  47,            0.056773,            0.041726,                   0,             0.85911,              0.6008,             0.67761,             0.33785,            0.056595,            0.042134,                   0,           0.0021257,           0.0021257,           0.0021257
                  48,             0.05658,              0.0423,                   0,             0.84526,             0.61117,             0.67991,             0.33814,             0.05646,            0.042148,                   0,           0.0020709,           0.0020709,           0.0020709
                  49,            0.057142,            0.041773,                   0,             0.84876,              0.6126,             0.68263,             0.34115,            0.056416,            0.042161,                   0,           0.0020315,           0.0020315,           0.0020315
